"Algortimo","Array","Tempo De Execução","Uso de Memória"
"Selection","1MCrescente","439.0245168","25839208"
"Selection","1MDecrescente","833.509704","173754416"
"Selection","1MConstante","861.0786116","103578120"
"Selection","1MDesordenado","2090.9608845","266263512"
"Selection","1MDesordenado10Finais","1795.1506348","270936448"
"Selection","1MDesordenado10Iniciais","1787.4006213","288794920"
"Selection","2MCrescente","932.5934395672319","150738200"
"Selection","2MDecrescente","1770.57465362496","187267128"
"Selection","2MConstante","1829.137629905184","168917064"
"Selection","2MDesordenado","4441.702749290279","71703376"
"Selection","2MDesordenado10Finais","3813.330784467552","204357360"
"Selection","2MDesordenado10Iniciais","3796.8678957903116","193156448"
"Selection","3MCrescente","2459.7338487273655","498816352"
"Selection","3MDecrescente","4669.926060428905","278176952"
"Selection","3MConstante","4824.38708162752","66327240"
"Selection","3MDesordenado","11715.079835308095","445288320"
"Selection","3MDesordenado10Finais","10057.736210648856","228961560"
"Selection","3MDesordenado10Iniciais","10014.315012504861","316712352"
