"Algortimo","Array","Tempo De Execução","Uso de Memória"
"Merge","1MCrescente","0.1367527","82837504"
"Merge","1MDecrescente","0.1941116","366104944"
"Merge","1MConstante","0.2142902","461526984"
"Merge","1MDesordenado","0.6385304","689537792"
"Merge","1MDesordenado10Finais","0.2843378","257122136"
"Merge","1MDesordenado10Iniciais","0.1812477","883394072"
"Merge","2MCrescente","0.4812401","487643144"
"Merge","2MDecrescente","1.212493","576400640"
"Merge","2MConstante","0.3947148","1312746440"
"Merge","2MDesordenado","0.5006805","916912672"
"Merge","2MDesordenado10Finais","0.2741809","1567028176"
"Merge","2MDesordenado10Iniciais","0.2519189","1501036080"
"Merge","3MCrescente","1.0188458","438304768"
"Merge","3MDecrescente","0.5209082","450498448"
"Merge","3MConstante","0.4628961","704643072"
"Merge","3MDesordenado","0.7708657","363053680"
"Merge","3MDesordenado10Finais","0.4921443","576833536"
"Merge","3MDesordenado10Iniciais","0.3820332","1147706784"
